Year,Production/Services,Industry Sector,Industry Sub Category,Value
1998,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.776820673
1999,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",5.035354618
2000,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.564315353
2001,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.676616915
2002,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.430978981
2003,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.160802252
2004,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.450757576
2005,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.390284617
2006,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.656805197
2007,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.702472019
2008,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",5.224528451
2009,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",5.688553614
2010,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",5.73828401
2011,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",6.02006689
2012,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",6.565739674
2013,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",5.961522583
2014,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",5.545760539
2015,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",5.228398459
2016,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",5.185832274
2017,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.91347833
2018,Services sector,Real estate activities,"Real estate activities, excluding imputed rental",4.818997525
1998,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.839579371
1999,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.924576816
2000,Services sector,Real estate activities,Owner-occupiers' imputed rental,6.099585062
2001,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.970149254
2002,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.652338572
2003,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.233990148
2004,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.630165289
2005,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.734078958
2006,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.85426939
2007,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.845881311
2008,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.413937337
2009,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.857901624
2010,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.777533558
2011,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.717470935
2012,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.89106467
2013,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.9202378
2014,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.770155474
2015,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.676546898
2016,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.765565438
2017,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.723130656
2018,Services sector,Real estate activities,Owner-occupiers' imputed rental,5.62345297
1998,Services sector,Real estate activities,,10.81776485
1999,Services sector,Real estate activities,,11.0992072
2000,Services sector,Real estate activities,,10.97510373
2001,Services sector,Real estate activities,,10.89552239
2002,Services sector,Real estate activities,,10.31054724
2003,Services sector,Real estate activities,,9.60591133
2004,Services sector,Real estate activities,,10.30475207
2005,Services sector,Real estate activities,,10.38310659
2006,Services sector,Real estate activities,,10.73804492
2007,Services sector,Real estate activities,,10.76576214
2008,Services sector,Real estate activities,,10.68581801
2009,Services sector,Real estate activities,,11.58494342
2010,Services sector,Real estate activities,,11.54721721
2011,Services sector,Real estate activities,,11.75346393
2012,Services sector,Real estate activities,,12.45680434
2013,Services sector,Real estate activities,,11.89001734
2014,Services sector,Real estate activities,,11.31591601
2015,Services sector,Real estate activities,,10.90494536
2016,Services sector,Real estate activities,,10.95933926
2017,Services sector,Real estate activities,,10.63660899
2018,Services sector,Real estate activities,,10.45018564
1998,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,2.930976619
1999,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,3.139061496
2000,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,2.821576763
2001,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,3.034825871
2002,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,2.793031623
2003,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,2.788529205
2004,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,2.703168044
2005,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,2.996410984
2006,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,3.122798779
2007,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,3.67179322
2008,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,3.780285692
2009,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,3.764144408
2010,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,4.097652877
2011,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,4.618569836
2012,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,4.368932039
2013,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,4.714722153
2014,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,4.343644815
2015,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,4.096233981
2016,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,3.75635324
2017,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,4.357834577
2018,Services sector,"Professional, scientific and technical activities",Legal and accounting activities,4.525061881
1998,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.21255174
1999,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.267838012
2000,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.248962656
2001,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.288557214
2002,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.27456921
2003,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.299085151
2004,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.361570248
2005,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.325515399
2006,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.375675041
2007,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.507287221
2008,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.568226659
2009,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.431067662
2010,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.400345396
2011,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.350374263
2012,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.31265427
2013,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.355049129
2014,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.360634717
2015,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.33021464
2016,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.373252859
2017,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.476266074
2018,Services sector,"Professional, scientific and technical activities",Head offices and management consultancy,0.425433168
1998,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.447477346
1999,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.439254339
2000,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.404564315
2001,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.368159204
2002,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.388184056
2003,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.369458128
2004,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.370179063
2005,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.417327435
2006,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.414807858
2007,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.450921974
2008,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.418277958
2009,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.377184204
2010,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.384645577
2011,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.366300366
2012,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.39493171
2013,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.363306085
2014,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.416733451
2015,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.400974919
2016,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.357369759
2017,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.357199555
2018,Services sector,"Professional, scientific and technical activities",Architectural and engineering activities,0.36355198
1998,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",1.073945632
1999,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",1.039211485
2000,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.96473029
2001,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.905472637
2002,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.908918765
2003,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.853272343
2004,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.886707989
2005,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.868041065
2006,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.876575096
2007,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.877687414
2008,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.860232026
2009,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.777461319
2010,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.894889709
2011,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.99538143
2012,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.831002139
2013,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.842209562
2014,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.865523321
2015,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.739051812
2016,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.786213469
2017,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",0.928718844
2018,Services sector,"Professional, scientific and technical activities","Other professional, scientific and technical activities",1.005569307
1998,Services sector,"Professional, scientific and technical activities",,4.597829735
1999,Services sector,"Professional, scientific and technical activities",,4.831797729
2000,Services sector,"Professional, scientific and technical activities",,4.398340249
2001,Services sector,"Professional, scientific and technical activities",,4.547263682
2002,Services sector,"Professional, scientific and technical activities",,4.326832039
2003,Services sector,"Professional, scientific and technical activities",,4.283954961
2004,Services sector,"Professional, scientific and technical activities",,4.321625344
2005,Services sector,"Professional, scientific and technical activities",,4.598948335
2006,Services sector,"Professional, scientific and technical activities",,4.789856774
2007,Services sector,"Professional, scientific and technical activities",,5.515742008
2008,Services sector,"Professional, scientific and technical activities",,5.627022334
2009,Services sector,"Professional, scientific and technical activities",,5.357555231
2010,Services sector,"Professional, scientific and technical activities",,5.769683649
2011,Services sector,"Professional, scientific and technical activities",,6.314699793
2012,Services sector,"Professional, scientific and technical activities",,5.882836926
2013,Services sector,"Professional, scientific and technical activities",,6.258773016
2014,Services sector,"Professional, scientific and technical activities",,5.986536304
2015,Services sector,"Professional, scientific and technical activities",,5.558613099
2016,Services sector,"Professional, scientific and technical activities",,5.273189327
2017,Services sector,"Professional, scientific and technical activities",,6.120019051
2018,Services sector,"Professional, scientific and technical activities",,6.319616337
1998,Services sector,Administrative and support service activities,Rental and leasing activities,0.257299474
1999,Services sector,Administrative and support service activities,Rental and leasing activities,0.342832655
2000,Services sector,Administrative and support service activities,Rental and leasing activities,0.342323651
2001,Services sector,Administrative and support service activities,Rental and leasing activities,0.328358209
2002,Services sector,Administrative and support service activities,Rental and leasing activities,0.378716152
2003,Services sector,Administrative and support service activities,Rental and leasing activities,0.343068262
2004,Services sector,Administrative and support service activities,Rental and leasing activities,0.327134986
2005,Services sector,Administrative and support service activities,Rental and leasing activities,0.325515399
2006,Services sector,Administrative and support service activities,Rental and leasing activities,0.328715661
2007,Services sector,Administrative and support service activities,Rental and leasing activities,0.354295837
2008,Services sector,Administrative and support service activities,Rental and leasing activities,0.331465551
2009,Services sector,Administrative and support service activities,Rental and leasing activities,0.261719652
2010,Services sector,Administrative and support service activities,Rental and leasing activities,0.29044666
2011,Services sector,Administrative and support service activities,Rental and leasing activities,0.270743749
2012,Services sector,Administrative and support service activities,Rental and leasing activities,0.329109758
2013,Services sector,Administrative and support service activities,Rental and leasing activities,0.379819998
2014,Services sector,Administrative and support service activities,Rental and leasing activities,0.392691136
2015,Services sector,Administrative and support service activities,Rental and leasing activities,0.440286186
2016,Services sector,Administrative and support service activities,Rental and leasing activities,0.563850064
2017,Services sector,Administrative and support service activities,Rental and leasing activities,0.658834736
2018,Services sector,Administrative and support service activities,Rental and leasing activities,0.750309406
1998,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.536972816
1999,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.546389544
2000,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.591286307
2001,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.666666667
2002,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.653285363
2003,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.562983814
2004,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.628443526
2005,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.651030799
2006,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.727870392
2007,Services sector,Administrative and support service activities,Employment activities; tourism and security services,1.014574442
2008,Services sector,Administrative and support service activities,Employment activities; tourism and security services,1.049640912
2009,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.746670772
2010,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.918439438
2011,Services sector,Administrative and support service activities,Employment activities; tourism and security services,0.979455327
2012,Services sector,Administrative and support service activities,Employment activities; tourism and security services,1.127200922
2013,Services sector,Administrative and support service activities,Employment activities; tourism and security services,1.403682603
2014,Services sector,Administrative and support service activities,Employment activities; tourism and security services,1.61083507
2015,Services sector,Administrative and support service activities,Employment activities; tourism and security services,1.855491784
2016,Services sector,Administrative and support service activities,Employment activities; tourism and security services,1.961562897
2017,Services sector,Administrative and support service activities,Employment activities; tourism and security services,1.9288776
2018,Services sector,Administrative and support service activities,Employment activities; tourism and security services,2.281868812
1998,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.346794944
1999,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.353546175
2000,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.435684647
2001,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.547263682
2002,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.511266806
2003,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.404644616
2004,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.370179063
2005,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.375594692
2006,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.344368788
2007,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.354295837
2008,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.339357588
2009,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.323300747
2010,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.361095847
2011,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.390189521
2012,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.370248478
2013,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.322021303
2014,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.304535983
2015,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.30662788
2016,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.333545108
2017,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.388950627
2018,Services sector,Administrative and support service activities,Services to buildings and landscape activities,0.394492574
1998,Services sector,Administrative and support service activities,Office administration and business support activities,0.816646157
1999,Services sector,Administrative and support service activities,Office administration and business support activities,1.124919649
2000,Services sector,Administrative and support service activities,Office administration and business support activities,0.871369295
2001,Services sector,Administrative and support service activities,Office administration and business support activities,0.945273632
2002,Services sector,Administrative and support service activities,Office administration and business support activities,0.956258284
2003,Services sector,Administrative and support service activities,Office administration and business support activities,1.117171006
2004,Services sector,Administrative and support service activities,Office administration and business support activities,1.282713499
2005,Services sector,Administrative and support service activities,Office administration and business support activities,1.368833987
2006,Services sector,Administrative and support service activities,Office administration and business support activities,1.134851687
2007,Services sector,Administrative and support service activities,Office administration and business support activities,1.119252758
2008,Services sector,Administrative and support service activities,Office administration and business support activities,0.947044432
2009,Services sector,Administrative and support service activities,Office administration and business support activities,0.846740051
2010,Services sector,Administrative and support service activities,Office administration and business support activities,1.14608682
2011,Services sector,Administrative and support service activities,Office administration and business support activities,1.290014333
2012,Services sector,Administrative and support service activities,Office administration and business support activities,1.209478361
2013,Services sector,Administrative and support service activities,Office administration and business support activities,1.345883907
2014,Services sector,Administrative and support service activities,Office administration and business support activities,1.210129828
2015,Services sector,Administrative and support service activities,Office administration and business support activities,1.053541945
2016,Services sector,Administrative and support service activities,Office administration and business support activities,1.215057179
2017,Services sector,Administrative and support service activities,Office administration and business support activities,0.960469916
2018,Services sector,Administrative and support service activities,Office administration and business support activities,0.611076733
1998,Services sector,Administrative and support service activities,,1.789909386
1999,Services sector,Administrative and support service activities,,2.131990572
2000,Services sector,Administrative and support service activities,,2.074688797
2001,Services sector,Administrative and support service activities,,2.278606965
2002,Services sector,Administrative and support service activities,,2.300700625
2003,Services sector,Administrative and support service activities,,2.234342013
2004,Services sector,Administrative and support service activities,,2.41046832
2005,Services sector,Administrative and support service activities,,2.503964611
2006,Services sector,Administrative and support service activities,,2.42623464
2007,Services sector,Administrative and support service activities,,2.810210162
2008,Services sector,Administrative and support service activities,,2.659616447
2009,Services sector,Administrative and support service activities,,2.139943037
2010,Services sector,Administrative and support service activities,,2.676819217
2011,Services sector,Administrative and support service activities,,2.87466157
2012,Services sector,Administrative and support service activities,,3.003126543
2013,Services sector,Administrative and support service activities,,3.443150855
2014,Services sector,Administrative and support service activities,,3.510177913
2015,Services sector,Administrative and support service activities,,3.655947795
2016,Services sector,Administrative and support service activities,,4.066073698
2017,Services sector,Administrative and support service activities,,3.92919511
2018,Services sector,Administrative and support service activities,,4.045482673
1998,Services sector,Public administration and defence,,9.699071485
1999,Services sector,Public administration and defence,,9.974287551
2000,Services sector,Public administration and defence,,9.201244813
2001,Services sector,Public administration and defence,,8.865671642
2002,Services sector,Public administration and defence,,10.00757432
2003,Services sector,Public administration and defence,,9.306826179
2004,Services sector,Public administration and defence,,9.022038567
2005,Services sector,Public administration and defence,,9.13112428
2006,Services sector,Public administration and defence,,8.961415043
2007,Services sector,Public administration and defence,,9.098961269
2008,Services sector,Public administration and defence,,9.210007103
2009,Services sector,Public administration and defence,,9.344931106
2010,Services sector,Public administration and defence,,9.412041762
2011,Services sector,Public administration and defence,,8.775282688
2012,Services sector,Public administration and defence,,8.515714991
2013,Services sector,Public administration and defence,,8.149616052
2014,Services sector,Public administration and defence,,7.52524443
2015,Services sector,Public administration and defence,,7.414104882
2016,Services sector,Public administration and defence,,7.337992376
2017,Services sector,Public administration and defence,,7.453564058
2018,Services sector,Public administration and defence,,7.781559406
1998,Services sector,Education,,10.82895178
1999,Services sector,Education,,11.10992072
2000,Services sector,Education,,10.2593361
2001,Services sector,Education,,9.383084577
2002,Services sector,Education,,10.03597803
2003,Services sector,Education,,9.122097115
2004,Services sector,Education,,8.651859504
2005,Services sector,Education,,9.214589767
2006,Services sector,Education,,8.483994678
2007,Services sector,Education,,8.446734842
2008,Services sector,Education,,8.34188304
2009,Services sector,Education,,7.828496652
2010,Services sector,Education,,7.025669205
2011,Services sector,Education,,6.720815416
2012,Services sector,Education,,7.182820471
2013,Services sector,Education,,7.381719098
2014,Services sector,Education,,7.32489181
2015,Services sector,Education,,7.00526771
2016,Services sector,Education,,7.345933926
2017,Services sector,Education,,7.517066201
2018,Services sector,Education,,7.634591584
1998,Services sector,Human health and social work activities,Human health and residential care activities,8.64749972
1999,Services sector,Human health and social work activities,Human health and residential care activities,8.270837797
2000,Services sector,Human health and social work activities,Human health and residential care activities,8.412863071
2001,Services sector,Human health and social work activities,Human health and residential care activities,8.407960199
2002,Services sector,Human health and social work activities,Human health and residential care activities,8.60632456
2003,Services sector,Human health and social work activities,Human health and residential care activities,8.691062632
2004,Services sector,Human health and social work activities,Human health and residential care activities,8.47107438
2005,Services sector,Human health and social work activities,Human health and residential care activities,8.204657374
2006,Services sector,Human health and social work activities,Human health and residential care activities,7.99874775
2007,Services sector,Human health and social work activities,Human health and residential care activities,8.06828247
2008,Services sector,Human health and social work activities,Human health and residential care activities,8.704916739
2009,Services sector,Human health and social work activities,Human health and residential care activities,8.936956354
2010,Services sector,Human health and social work activities,Human health and residential care activities,8.658450428
2011,Services sector,Human health and social work activities,Human health and residential care activities,8.791208791
2012,Services sector,Human health and social work activities,Human health and residential care activities,9.856837255
2013,Services sector,Human health and social work activities,Human health and residential care activities,10.06522996
2014,Services sector,Human health and social work activities,Human health and residential care activities,9.376502645
2015,Services sector,Human health and social work activities,Human health and residential care activities,9.32463244
2016,Services sector,Human health and social work activities,Human health and residential care activities,9.736340534
2017,Services sector,Human health and social work activities,Human health and residential care activities,10.23972059
2018,Services sector,Human health and social work activities,Human health and residential care activities,10.21813119
1998,Services sector,Human health and social work activities,Social work activities,2.751985681
1999,Services sector,Human health and social work activities,Social work activities,3.23548318
2000,Services sector,Human health and social work activities,Social work activities,3.433609959
2001,Services sector,Human health and social work activities,Social work activities,3.114427861
2002,Services sector,Human health and social work activities,Social work activities,3.285362621
2003,Services sector,Human health and social work activities,Social work activities,3.342716397
2004,Services sector,Human health and social work activities,Social work activities,3.073347107
2005,Services sector,Human health and social work activities,Social work activities,2.746014523
2006,Services sector,Human health and social work activities,Social work activities,2.535806527
2007,Services sector,Human health and social work activities,Social work activities,2.705531846
2008,Services sector,Human health and social work activities,Social work activities,2.336042933
2009,Services sector,Human health and social work activities,Social work activities,2.40166269
2010,Services sector,Human health and social work activities,Social work activities,2.849517231
2011,Services sector,Human health and social work activities,Social work activities,2.858735467
2012,Services sector,Human health and social work activities,Social work activities,2.698700016
2013,Services sector,Human health and social work activities,Social work activities,2.807365205
2014,Services sector,Human health and social work activities,Social work activities,2.75685206
2015,Services sector,Human health and social work activities,Social work activities,2.657441623
2016,Services sector,Human health and social work activities,Social work activities,2.596886912
2017,Services sector,Human health and social work activities,Social work activities,2.19082394
2018,Services sector,Human health and social work activities,Social work activities,1.871905941
1998,Services sector,Human health and social work activities,Human health and social work activities,11.35473767
1999,Services sector,Human health and social work activities,Human health and social work activities,11.22776945
2000,Services sector,Human health and social work activities,Human health and social work activities,11.52489627
2001,Services sector,Human health and social work activities,Human health and social work activities,11.30348259
2002,Services sector,Human health and social work activities,Human health and social work activities,11.64552168
2003,Services sector,Human health and social work activities,Human health and social work activities,11.76108374
2004,Services sector,Human health and social work activities,Human health and social work activities,11.33780992
2005,Services sector,Human health and social work activities,Human health and social work activities,10.82547367
2006,Services sector,Human health and social work activities,Human health and social work activities,10.44846208
2007,Services sector,Human health and social work activities,Human health and social work activities,10.65303165
2008,Services sector,Human health and social work activities,Human health and social work activities,11.08041986
2009,Services sector,Human health and social work activities,Human health and social work activities,11.37710723
2010,Services sector,Human health and social work activities,Human health and social work activities,11.40591883
2011,Services sector,Human health and social work activities,Human health and social work activities,11.56235069
2012,Services sector,Human health and social work activities,Human health and social work activities,12.57199276
2013,Services sector,Human health and social work activities,Human health and social work activities,12.87259516
2014,Services sector,Human health and social work activities,Human health and social work activities,12.11732649
2015,Services sector,Human health and social work activities,Human health and social work activities,11.98207406
2016,Services sector,Human health and social work activities,Human health and social work activities,12.33322745
2017,Services sector,Human health and social work activities,Human health and social work activities,12.4384823
2018,Services sector,Human health and social work activities,Human health and social work activities,12.09777228
1998,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.84830518
1999,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.342618384
2000,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.350622407
2001,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.124378109
2002,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",2.849839046
2003,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.06122449
2004,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.081955923
2005,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.255153994
2006,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",2.942787822
2007,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",2.753844915
2008,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",2.75432089
2009,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",2.709568163
2010,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",2.833817411
2011,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.041885651
2012,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.398058252
2013,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",2.633969119
2014,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.20564193
2015,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.247110622
2016,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.192503177
2017,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.13541832
2018,Services sector,"Arts, entertainment and recreation","Arts, entertainment and recreation",3.109529703
1998,Services sector,Other service activities,Membership organisations; repair of household goods,0.604094418
1999,Services sector,Other service activities,Membership organisations; repair of household goods,0.546389544
2000,Services sector,Other service activities,Membership organisations; repair of household goods,0.643153527
2001,Services sector,Other service activities,Membership organisations; repair of household goods,0.537313433
2002,Services sector,Other service activities,Membership organisations; repair of household goods,0.492330998
2003,Services sector,Other service activities,Membership organisations; repair of household goods,0.395847994
2004,Services sector,Other service activities,Membership organisations; repair of household goods,0.39600551
2005,Services sector,Other service activities,Membership organisations; repair of household goods,0.467406727
2006,Services sector,Other service activities,Membership organisations; repair of household goods,0.516553181
2007,Services sector,Other service activities,Membership organisations; repair of household goods,0.410661084
2008,Services sector,Other service activities,Membership organisations; repair of household goods,0.449846105
2009,Services sector,Other service activities,Membership organisations; repair of household goods,0.46185821
2010,Services sector,Other service activities,Membership organisations; repair of household goods,0.510244132
2011,Services sector,Other service activities,Membership organisations; repair of household goods,0.493709189
2012,Services sector,Other service activities,Membership organisations; repair of household goods,0.649991772
2013,Services sector,Other service activities,Membership organisations; repair of household goods,0.701841301
2014,Services sector,Other service activities,Membership organisations; repair of household goods,0.745311749
2015,Services sector,Other service activities,Membership organisations; repair of household goods,0.581806746
2016,Services sector,Other service activities,Membership organisations; repair of household goods,0.524142313
2017,Services sector,Other service activities,Membership organisations; repair of household goods,0.468328306
2018,Services sector,Other service activities,Membership organisations; repair of household goods,0.433168317
1998,Services sector,Other service activities,Other personal service activities,1.096319499
1999,Services sector,Other service activities,Other personal service activities,1.124919649
2000,Services sector,Other service activities,Other personal service activities,1.192946058
2001,Services sector,Other service activities,Other personal service activities,1.293532338
